乏しく	形容詞,自立,*,*,形容詞・イ段,連用テ接続,乏しい,トボシク,トボシク
心	名詞,一般,*,*,*,*,心,ココロ,ココロ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
エホバ	名詞,一般,*,*,*,*,エホバ,エホバ,エホバ
ご	接頭詞,名詞接続,*,*,*,*,ご,ゴ,ゴ
自身	名詞,一般,*,*,*,*,自身,ジシン,ジシン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
向かっ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,向かう,ムカッ,ムカッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
激怒	名詞,サ変接続,*,*,*,*,激怒,ゲキド,ゲキド
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
。	記号,句点,*,*,*,*,。,。,。
富	名詞,一般,*,*,*,*,富,トミ,トミ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
多く	名詞,副詞可能,*,*,*,*,多く,オオク,オーク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
友	名詞,一般,*,*,*,*,友,トモ,トモ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
加え	動詞,自立,*,*,一段,連用形,加える,クワエ,クワエ
，	記号,読点,*,*,*,*,，,，,，
立場	名詞,一般,*,*,*,*,立場,タチバ,タチバ
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ
低い	形容詞,自立,*,*,形容詞・アウオ段,基本形,低い,ヒクイ,ヒクイ
者	名詞,非自立,一般,*,*,*,者,モノ,モノ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
友	名詞,一般,*,*,*,*,友,トモ,トモ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
も	助詞,係助詞,*,*,*,*,も,モ,モ
引き離さ	動詞,自立,*,*,五段・サ行,未然形,引き離す,ヒキハナサ,ヒキハナサ
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル
。	記号,句点,*,*,*,*,。,。,。
偽り	名詞,一般,*,*,*,*,偽り,イツワリ,イツワリ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
証人	名詞,一般,*,*,*,*,証人,ショウニン,ショーニン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
処罰	名詞,サ変接続,*,*,*,*,処罰,ショバツ,ショバツ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
免れ	動詞,自立,*,*,一段,未然形,免れる,マヌカレ,マヌカレ
ず	助動詞,*,*,*,特殊・ヌ,連用ニ接続,ぬ,ズ,ズ
，	記号,読点,*,*,*,*,，,，,，
うそ	名詞,一般,*,*,*,*,うそ,ウソ,ウソ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
吐く	動詞,自立,*,*,五段・カ行イ音便,基本形,吐く,ハク,ハク
者	名詞,非自立,一般,*,*,*,者,モノ,モノ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
逃れ	動詞,自立,*,*,一段,未然形,逃れる,ノガレ,ノガレ
られ	動詞,接尾,*,*,一段,未然形,られる,ラレ,ラレ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
。	記号,句点,*,*,*,*,。,。,。
高貴	名詞,形容動詞語幹,*,*,*,*,高貴,コウキ,コーキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
者	名詞,非自立,一般,*,*,*,者,モノ,モノ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
顔	名詞,一般,*,*,*,*,顔,カオ,カオ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
和める	動詞,自立,*,*,一段,基本形,和める,ナゴメル,ナゴメル
者	名詞,非自立,一般,*,*,*,者,モノ,モノ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
多い	形容詞,自立,*,*,形容詞・アウオ段,基本形,多い,オオイ,オーイ
。	記号,句点,*,*,*,*,。,。,。
だれ	名詞,代名詞,一般,*,*,*,だれ,ダレ,ダレ
も	助詞,係助詞,*,*,*,*,も,モ,モ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
贈り物	名詞,サ変接続,*,*,*,*,贈り物,オクリモノ,オクリモノ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
人	名詞,一般,*,*,*,*,人,ヒト,ヒト
の	助詞,連体化,*,*,*,*,の,ノ,ノ
友	名詞,一般,*,*,*,*,友,トモ,トモ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
。	記号,句点,*,*,*,*,。,。,。
資力	名詞,一般,*,*,*,*,資力,シリョク,シリョク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
乏しい	形容詞,自立,*,*,形容詞・イ段,基本形,乏しい,トボシイ,トボシイ
者	名詞,非自立,一般,*,*,*,者,モノ,モノ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
兄弟	名詞,一般,*,*,*,*,兄弟,キョウダイ,キョーダイ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
みな	名詞,代名詞,一般,*,*,*,みな,ミナ,ミナ
彼	名詞,代名詞,一般,*,*,*,彼,カレ,カレ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
憎ん	動詞,自立,*,*,五段・マ行,連用タ接続,憎む,ニクン,ニクン
だ	助動詞,*,*,*,特殊・タ,基本形,だ,ダ,ダ
。	記号,句点,*,*,*,*,。,。,。
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
身近	名詞,形容動詞語幹,*,*,*,*,身近,ミヂカ,ミジカ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
友人	名詞,一般,*,*,*,*,友人,ユウジン,ユージン
たち	名詞,接尾,一般,*,*,*,たち,タチ,タチ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
なおさら	副詞,助詞類接続,*,*,*,*,なおさら,ナオサラ,ナオサラ
遠く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,遠い,トオク,トーク
彼	名詞,代名詞,一般,*,*,*,彼,カレ,カレ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
離れ	動詞,自立,*,*,一段,連用形,離れる,ハナレ,ハナレ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
しまっ	動詞,非自立,*,*,五段・ワ行促音便,連用タ接続,しまう,シマッ,シマッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
彼	名詞,代名詞,一般,*,*,*,彼,カレ,カレ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
言う	動詞,自立,*,*,五段・ワ行促音便,基本形,言う,イウ,イウ
べき	助動詞,*,*,*,文語・ベシ,体言接続,べし,ベキ,ベキ
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
もっ	動詞,自立,*,*,五段・タ行,連用タ接続,もつ,モッ,モッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
追いかける	動詞,自立,*,*,一段,基本形,追いかける,オイカケル,オイカケル
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
，	記号,読点,*,*,*,*,，,，,，
彼ら	名詞,代名詞,一般,*,*,*,彼ら,カレラ,カレラ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
い	動詞,自立,*,*,一段,未然形,いる,イ,イ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
。	記号,句点,*,*,*,*,。,。,。
心	名詞,一般,*,*,*,*,心,ココロ,ココロ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
得る	動詞,自立,*,*,一段,基本形,得る,エル,エル
者	名詞,非自立,一般,*,*,*,者,モノ,モノ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
魂	名詞,一般,*,*,*,*,魂,タマシイ,タマシー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
愛し	動詞,自立,*,*,五段・サ行,連用形,愛す,アイシ,アイシ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
。	記号,句点,*,*,*,*,。,。,。
識別	名詞,サ変接続,*,*,*,*,識別,シキベツ,シキベツ
力	名詞,接尾,一般,*,*,*,力,リョク,リョク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
守っ	動詞,自立,*,*,五段・ラ行,連用タ接続,守る,マモッ,マモッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
者	名詞,非自立,一般,*,*,*,者,モノ,モノ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
善	名詞,一般,*,*,*,*,善,ゼン,ゼン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
見いだす	動詞,自立,*,*,五段・サ行,基本形,見いだす,ミイダス,ミイダス
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
。	記号,句点,*,*,*,*,。,。,。
偽り	名詞,一般,*,*,*,*,偽り,イツワリ,イツワリ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
証人	名詞,一般,*,*,*,*,証人,ショウニン,ショーニン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
処罰	名詞,サ変接続,*,*,*,*,処罰,ショバツ,ショバツ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
免れ	動詞,自立,*,*,一段,未然形,免れる,マヌカレ,マヌカレ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
。	記号,句点,*,*,*,*,。,。,。
うそ	名詞,一般,*,*,*,*,うそ,ウソ,ウソ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
吐く	動詞,自立,*,*,五段・カ行イ音便,基本形,吐く,ハク,ハク
者	名詞,非自立,一般,*,*,*,者,モノ,モノ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
滅び	動詞,自立,*,*,一段,連用形,滅びる,ホロビ,ホロビ
うせる	動詞,自立,*,*,一段,基本形,うせる,ウセル,ウセル
。	記号,句点,*,*,*,*,。,。,。
ぜいたく	名詞,形容動詞語幹,*,*,*,*,ぜいたく,ゼイタク,ゼイタク
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
愚鈍	名詞,形容動詞語幹,*,*,*,*,愚鈍,グドン,グドン
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
者	名詞,非自立,一般,*,*,*,者,モノ,モノ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
ふさわしく	形容詞,自立,*,*,形容詞・イ段,連用テ接続,ふさわしい,フサワシク,フサワシク
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
。	記号,句点,*,*,*,*,。,。,。
まして	副詞,一般,*,*,*,*,まして,マシテ,マシテ
僕	名詞,代名詞,一般,*,*,*,僕,ボク,ボク
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
君たち	名詞,代名詞,一般,*,*,*,君たち,キミタチ,キミタチ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
支配	名詞,サ変接続,*,*,*,*,支配,シハイ,シハイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
！	記号,一般,*,*,*,*,！,！,！
人	名詞,一般,*,*,*,*,人,ヒト,ヒト
の	助詞,連体化,*,*,*,*,の,ノ,ノ
洞察	名詞,サ変接続,*,*,*,*,洞察,ドウサツ,ドーサツ
力	名詞,接尾,一般,*,*,*,力,リョク,リョク
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
確か	名詞,形容動詞語幹,*,*,*,*,確か,タシカ,タシカ
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
怒り	名詞,一般,*,*,*,*,怒り,イカリ,イカリ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
遅く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,遅い,オソク,オソク
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
違犯	名詞,サ変接続,*,*,*,*,違犯,イハン,イハン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
ゆるす	動詞,自立,*,*,五段・サ行,基本形,ゆるす,ユルス,ユルス
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
人	名詞,一般,*,*,*,*,人,ヒト,ヒト
の	助詞,連体化,*,*,*,*,の,ノ,ノ
美し	形容詞,自立,*,*,形容詞・イ段,ガル接続,美しい,ウツクシ,ウツクシ
さ	名詞,接尾,特殊,*,*,*,さ,サ,サ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
。	記号,句点,*,*,*,*,。,。,。
王	名詞,一般,*,*,*,*,王,オウ,オー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
激しい	形容詞,自立,*,*,形容詞・イ段,基本形,激しい,ハゲシイ,ハゲシイ
怒り	名詞,一般,*,*,*,*,怒り,イカリ,イカリ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
，	記号,読点,*,*,*,*,，,，,，
たてがみ	名詞,一般,*,*,*,*,たてがみ,タテガミ,タテガミ
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
若い	形容詞,自立,*,*,形容詞・アウオ段,基本形,若い,ワカイ,ワカイ
ライオン	名詞,一般,*,*,*,*,ライオン,ライオン,ライオン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
うなり	動詞,自立,*,*,五段・ラ行,連用形,うなる,ウナリ,ウナリ
声	名詞,接尾,一般,*,*,*,声,ゴエ,ゴエ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
。	記号,句点,*,*,*,*,。,。,。
しかし	接続詞,*,*,*,*,*,しかし,シカシ,シカシ
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
善意	名詞,一般,*,*,*,*,善意,ゼンイ,ゼンイ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
，	記号,読点,*,*,*,*,，,，,，
草木	名詞,一般,*,*,*,*,草木,クサキ,クサキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
上	名詞,非自立,副詞可能,*,*,*,上,ウエ,ウエ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
下りる	動詞,自立,*,*,一段,基本形,下りる,オリル,オリル
露	名詞,固有名詞,地域,国,*,*,露,ロ,ロ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
。	記号,句点,*,*,*,*,。,。,。
愚鈍	名詞,形容動詞語幹,*,*,*,*,愚鈍,グドン,グドン
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
子	名詞,一般,*,*,*,*,子,コ,コ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
父	名詞,一般,*,*,*,*,父,チチ,チチ
にとって	助詞,格助詞,連語,*,*,*,にとって,ニトッテ,ニトッテ
逆境	名詞,一般,*,*,*,*,逆境,ギャッキョウ,ギャッキョー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
意味	名詞,サ変接続,*,*,*,*,意味,イミ,イミ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
，	記号,読点,*,*,*,*,，,，,，
妻	名詞,一般,*,*,*,*,妻,ツマ,ツマ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
口論	名詞,サ変接続,*,*,*,*,口論,コウロン,コーロン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
，	記号,読点,*,*,*,*,，,，,，
人	名詞,一般,*,*,*,*,人,ヒト,ヒト
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
追い立てる	動詞,自立,*,*,一段,基本形,追い立てる,オイタテル,オイタテル
雨漏り	名詞,サ変接続,*,*,*,*,雨漏り,アマモリ,アマモリ
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
屋根	名詞,一般,*,*,*,*,屋根,ヤネ,ヤネ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
。	記号,句点,*,*,*,*,。,。,。
父祖	名詞,一般,*,*,*,*,父祖,フソ,フソ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
相続	名詞,サ変接続,*,*,*,*,相続,ソウゾク,ソーゾク
物	名詞,接尾,一般,*,*,*,物,ブツ,ブツ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
家	名詞,一般,*,*,*,*,家,イエ,イエ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
富	名詞,一般,*,*,*,*,富,トミ,トミ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あり	助動詞,*,*,*,五段・ラ行アル,連用形,ある,アリ,アリ
，	記号,読点,*,*,*,*,，,，,，
思慮	名詞,一般,*,*,*,*,思慮,シリョ,シリョ
深い	形容詞,自立,*,*,形容詞・アウオ段,基本形,深い,フカイ,フカイ
妻	名詞,一般,*,*,*,*,妻,ツマ,ツマ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
エホバ	名詞,一般,*,*,*,*,エホバ,エホバ,エホバ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
もの	名詞,非自立,一般,*,*,*,もの,モノ,モノ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
。	記号,句点,*,*,*,*,。,。,。
怠惰	名詞,形容動詞語幹,*,*,*,*,怠惰,タイダ,タイダ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
[	名詞,サ変接続,*,*,*,*,*
人	名詞,接尾,一般,*,*,*,人,ジン,ジン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
]	名詞,サ変接続,*,*,*,*,*
深い	形容詞,自立,*,*,形容詞・アウオ段,基本形,深い,フカイ,フカイ
眠り	名詞,一般,*,*,*,*,眠り,ネムリ,ネムリ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
陥ら	動詞,自立,*,*,五段・ラ行,未然形,陥る,オチイラ,オチイラ
せ	動詞,接尾,*,*,一段,連用形,せる,セ,セ
，	記号,読点,*,*,*,*,，,，,，
緩慢	名詞,形容動詞語幹,*,*,*,*,緩慢,カンマン,カンマン
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
魂	名詞,一般,*,*,*,*,魂,タマシイ,タマシー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
飢える	動詞,自立,*,*,一段,基本形,飢える,ウエル,ウエル
。	記号,句点,*,*,*,*,。,。,。
おき	動詞,自立,*,*,一段,連用形,おきる,オキ,オキ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
守っ	動詞,自立,*,*,五段・ラ行,連用タ接続,守る,マモッ,マモッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
者	名詞,非自立,一般,*,*,*,者,モノ,モノ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
魂	名詞,一般,*,*,*,*,魂,タマシイ,タマシー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
守っ	動詞,自立,*,*,五段・ラ行,連用タ接続,守る,マモッ,マモッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
おり	動詞,非自立,*,*,五段・ラ行,連用形,おる,オリ,オリ
，	記号,読点,*,*,*,*,，,，,，
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
道	名詞,一般,*,*,*,*,道,ミチ,ミチ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
軽	形容詞,自立,*,*,形容詞・アウオ段,ガル接続,軽い,カル,カル
ん	名詞,非自立,一般,*,*,*,ん,ン,ン
じ	助動詞,*,*,*,不変化型,基本形,じ,ジ,ジ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
者	名詞,非自立,一般,*,*,*,者,モノ,モノ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
死	名詞,一般,*,*,*,*,死,シ,シ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
処せ	動詞,自立,*,*,サ変・−スル,未然レル接続,処する,ショセ,ショセ
られる	動詞,接尾,*,*,一段,基本形,られる,ラレル,ラレル
。	記号,句点,*,*,*,*,。,。,。
立場	名詞,一般,*,*,*,*,立場,タチバ,タチバ
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ
低い	形容詞,自立,*,*,形容詞・アウオ段,基本形,低い,ヒクイ,ヒクイ
者	名詞,非自立,一般,*,*,*,者,モノ,モノ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
恵み	名詞,一般,*,*,*,*,恵み,メグミ,メグミ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
示し	動詞,自立,*,*,五段・サ行,連用形,示す,シメシ,シメシ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
人	名詞,一般,*,*,*,*,人,ヒト,ヒト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
エホバ	名詞,一般,*,*,*,*,エホバ,エホバ,エホバ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
貸し	動詞,自立,*,*,五段・サ行,連用形,貸す,カシ,カシ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あり	助動詞,*,*,*,五段・ラ行アル,連用形,ある,アリ,アリ
，	記号,読点,*,*,*,*,，,，,，
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
扱い	名詞,サ変接続,*,*,*,*,扱い,アツカイ,アツカイ
