さて	接続詞,*,*,*,*,*,さて,サテ,サテ
，	記号,読点,*,*,*,*,，,，,，
イッサカル	名詞,一般,*,*,*,*,*
の	助詞,連体化,*,*,*,*,の,ノ,ノ
子	名詞,一般,*,*,*,*,子,コ,コ
ら	名詞,接尾,一般,*,*,*,ら,ラ,ラ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
トラ	名詞,一般,*,*,*,*,トラ,トラ,トラ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
プア	名詞,一般,*,*,*,*,*
，	記号,読点,*,*,*,*,，,，,，
ヤシュブ	名詞,一般,*,*,*,*,*
と	助詞,並立助詞,*,*,*,*,と,ト,ト
シムロン	名詞,一般,*,*,*,*,*
の	助詞,連体化,*,*,*,*,の,ノ,ノ
四	名詞,数,*,*,*,*,四,ヨン,ヨン
人	名詞,接尾,助数詞,*,*,*,人,ニン,ニン
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あっ	助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
そして	接続詞,*,*,*,*,*,そして,ソシテ,ソシテ
トラ	名詞,一般,*,*,*,*,トラ,トラ,トラ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
子	名詞,一般,*,*,*,*,子,コ,コ
ら	名詞,接尾,一般,*,*,*,ら,ラ,ラ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
ウジ	名詞,一般,*,*,*,*,ウジ,ウジ,ウジ
，	記号,読点,*,*,*,*,，,，,，
レファヤ	名詞,一般,*,*,*,*,*
，	記号,読点,*,*,*,*,，,，,，
エリ	名詞,一般,*,*,*,*,エリ,エリ,エリ
エル	名詞,固有名詞,人名,名,*,*,エル,エル,エル
，	記号,読点,*,*,*,*,，,，,，
ヤフマイ	名詞,一般,*,*,*,*,*
，	記号,読点,*,*,*,*,，,，,，
イブ	名詞,一般,*,*,*,*,イブ,イブ,イブ
サム	名詞,固有名詞,人名,名,*,*,サム,サム,サム
，	記号,読点,*,*,*,*,，,，,，
シェムエル	名詞,一般,*,*,*,*,*
で	助詞,格助詞,一般,*,*,*,で,デ,デ
，	記号,読点,*,*,*,*,，,，,，
